"Envelope_ID","PopName","Pop_ID","PopCode2.x","Date_collected","stems","Clump_size","Notes","Type","Flower_number2","Fruit2","Total_seeds_counted","max_fruit","solo_fruit_count","seed_counted_in_solo_fruit","var_seeds","stdev_seeds","Seeds_per_fruit","PopCode2.y","Lat","Long","L","M","S"
"246","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",50,45,217,"5",5,217,622.8,24.9559612117025,43.4,NA,NA,NA,NA,NA,NA
"542","Round Lake","M5","ON.M5",2015-10-24,"1",NA,"pop size is few thousand stems 60-80% flowering and 60=80% fruiting","M",9,4,28,"4",0,0,NA,NA,7,"ON.M5","44.81551","-78.77971","0","0","188"
"358","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",33,14,16,"6",3,2,1.33333333333333,1.15470053837925,2.66666666666667,"ON.M5","44.81551","-78.77971","0","0","188"
"138","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",22,13,27,"5",3,7,6.33333333333333,2.51661147842358,5.4,"ON.M5","44.81551","-78.77971","0","0","188"
"117","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",20,15,26,"6",6,26,5.86666666666667,2.42212028327799,4.33333333333333,"ON.M5","44.81551","-78.77971","0","0","188"
"12","Round Lake","M5","ON.M5",2015-10-24,"1","15",NA,"M",50,50,29,"6",6,29,10.5666666666667,3.25064096243597,4.83333333333333,"ON.M5","44.81551","-78.77971","0","0","188"
"141","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",2,2,1,"2",2,1,0.5,0.707106781186548,0.5,"ON.M5","44.81551","-78.77971","0","0","188"
"42","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",11,4,6,"9",12,6,0.818181818181818,0.904534033733291,0.666666666666667,"ON.M5","44.81551","-78.77971","0","0","188"
"657","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",12,3,5,"5",5,5,1.5,1.22474487139159,1,"ON.M5","44.81551","-78.77971","0","0","188"
"683","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",120,110,28,"5",2,26,72,8.48528137423857,5.6,"ON.M5","44.81551","-78.77971","0","0","188"
"623","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",4,3,16,"4",4,16,32,5.65685424949238,4,"ON.M5","44.81551","-78.77971","0","0","188"
"555","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",15,6,30,"9",10,30,14,3.74165738677394,3.33333333333333,"ON.M5","44.81551","-78.77971","0","0","188"
"517","Round Lake","M5","ON.M5",2015-10-24,"1",NA,NA,"M",10,8,99,"5",5,99,513.2,22.6539179834306,19.8,"ON.M5","44.81551","-78.77971","0","0","188"
"153","Round Lake","M5","ON.M5",2015-10-24,"1",NA,"big secondary branches","M",105,105,184,"5",1,39,NA,NA,36.8,"ON.M5","44.81551","-78.77971","0","0","188"
