"Envelope_ID","PopName","Pop_ID","PopCode","PopCode2","Date_collected","stems","Clump_size","Flower_number","Fruit_number","Secondary_branches","Notes","Seed.number","Type","Flower_number2","Fruit2"
"620","Rideau Bird Sanctuary","T17","ON.T16","ON.T16","26-10-15","1","",50,50,3,"","","P",50,50
"551","Rideau Bird Sanctuary","T17","ON.T16","ON.T16","26-10-15","1","15",25,25,0,"","","P",25,25
"525","Rideau Bird Sanctuary","T17","ON.T16","ON.T16","26-10-15","1","10",50,50,0,"","","P",50,50
"109","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",125,125,10,"","","P",125,125
"389","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","1",180,180,10,"","","P",180,180
"51","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",189,189,6,"","","P",189,189
"240","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",205,205,8,"","","P",205,205
"270","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","4",109,109,0,"","","P",109,109
"331","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",87,87,0,"","","P",87,87
"434","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","10",295,295,11,"","","P",295,295
"416","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",275,275,12,"","","P",275,275
"302","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",80,80,10,"","","P",80,80
"717","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",25,25,0,"","","P",25,25
"570","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",150,150,6,"","","P",150,150
"536","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",170,170,8,"","","P",170,170
"506","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",360,360,8,"","","P",360,360
"242","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",95,95,0,"","","P",95,95
"181","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",170,170,2,"","","P",170,170
"4","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",140,140,18,"","","P",140,140
"476","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",115,115,0,"","","P",115,115
"89","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",35,35,0,"solo stem","","P",35,35
"716","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",305,305,16,"","","P",305,305
"601","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",190,190,5,"","","P",190,190
"505","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",120,120,8,"","","P",120,120
"478","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",110,110,0,"","","P",110,110
"448","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",168,168,4,"","","P",168,168
"356","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",127,127,0,"","","P",127,127
"266","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","20",100,100,11,"","","P",100,100
"53","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",258,258,6,"","","P",258,258
"28","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",125,125,10,"","","P",125,125
"523","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","6",30,30,0,"","","P",30,30
"272","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","8",36,36,0,"","","P",36,36
"420","Otty Lake","D7","ON.D7","ON.D7","26-10-15","1","",85,85,5,"","","P",85,85
"390","Otty Lake","D7","ON.D7","ON.D7","26-10-15","stema","",85,85,0,"collected this stem","","P",165,165
"419","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","stema","",39,39,0,"","","P",49,49
"479","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","1","8",37,37,0,"","","P",37,37
"386","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","1","",258,258,12,"","","P",258,258
"360","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","1","",229,229,6,"","","P",229,229
"426","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","stema","",47,47,0,"","","P",84,84
"747","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","1","",68,68,0,"","","P",68,68
"82","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","1","",82,82,10,"","","P",82,82
"10","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","1","",135,135,12,"","","P",135,135
"35","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","1","",105,105,1,"","","P",105,105
"185","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","1","6",37,37,8,"these are 8 smallish branches with 0 flowers","","P",37,37
"98","Cow Bay QUBS","T6","ON.T6","EO.T6","27-10-15","1","",55,55,4,"","","P",55,55
