"Envelope_ID","Type","PopName","Pop_ID","PopCode2","Date_collected","Clump_size","Secondary_branches","Flower_num","Fruit_num","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","Seed_var","Seed_stdev"
602,"M","Corry Lake","M16","ON.M16","11-10-15","",3,20,20,10,106,10.6,0.5,0.707106781186548
212,"M","Corry Lake","M16","ON.M16","11-10-15","",2,10,10,6,18,3,NA,NA
171,"M","Corry Lake","M16","ON.M16","11-10-15","",2,8,5,4,4,1,NA,NA
200,"M","Corry Lake","M16","ON.M16","11-10-15","",4,55,55,13,103,7.92307692307692,NA,NA
93,"M","Corry Lake","M16","ON.M16","11-10-15","",2,15,14,5,18,3.6,0,0
645,"M","Corry Lake","M16","ON.M16","11-10-15","",4,30,30,5,21,4.2,0.5,0.707106781186548
165,"M","Corry Lake","M16","ON.M16","11-10-15","",0,5,3,2,14,7,8,2.82842712474619
361,"M","Corry Lake","M16","ON.M16","11-10-15","",0,24,21,7,24,3.42857142857143,0.5,0.707106781186548
60,"M","Corry Lake","M16","ON.M16","11-10-15","",3,85,85,5,6,1.2,1.7,1.30384048104053
318,"M","Corry Lake","M16","ON.M16","11-10-15","",0,20,18,7,45,6.42857142857143,NA,NA
492,"M","Corry Lake","M16","ON.M16","11-10-15","",2,100,90,11,38,3.45454545454545,9.87272727272727,3.14208963473789
135,"M","Corry Lake","M16","ON.M16","11-10-15","",10,15,15,5,16,3.2,15.7,3.96232255123179
522,"M","Corry Lake","M16","ON.M16","11-10-15","",2,240,240,5,7,1.4,NA,NA
182,"M","Corry Lake","M16","ON.M16","11-10-15","",3,55,55,5,21,4.2,NA,NA
103,"M","Corry Lake","M16","ON.M16","11-10-15","",0,35,34,5,20,4,NA,NA
417,"M","Corry Lake","M16","ON.M16","11-10-15","",2,11,11,5,48,9.6,NA,NA
503,"M","Corry Lake","M16","ON.M16","11-10-15","",4,30,29,5,30,6,24.5,4.94974746830583
388,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",3,5,3,3,1,0.333333333333333,0.333333333333333,0.577350269189626
436,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",3,15,0,5,0,0,0,0
80,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",2,35,0,5,0,0,0,0
418,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",2,20,0,5,0,0,0,0
71,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",3,12,0,5,0,0,0,0
415,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",2,10,0,3,0,0,0,0
83,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",0,38,10,5,0,0,0,0
38,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",0,50,25,5,0,0,0,0
526,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",5,10,0,0,0,0,NA,NA
169,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",2,7,0,4,0,0,NA,NA
746,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",2,20,0,0,0,0,NA,NA
260,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",0,6,0,2,0,0,0,0
735,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",4,35,0,5,0,0,0,0
155,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",0,8,1,4,1,0.25,NA,NA
442,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",0,15,1,1,2,2,NA,NA
384,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",0,12,7,5,0,0,0,0
199,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",0,20,1,5,0,0,0,0
625,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",3,10,0,0,0,0,NA,NA
507,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",2,30,10,5,0,0,0,0
646,"P","Samuel de Champlain","D10","ON.D10","11-10-15","8",0,10,1,0,0,0,NA,NA
385,"P","Samuel de Champlain","D10","ON.D10","11-10-15","2",0,10,0,5,0,0,0,0
196,"P","Samuel de Champlain","D10","ON.D10","11-10-15","50",0,100,0,5,2,0.4,0.8,0.894427190999916
230,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",7,80,26,5,0,0,0,0
353,"P","Samuel de Champlain","D10","ON.D10","11-10-15","36",0,50,25,5,2,0.4,0.3,0.547722557505166
663,"P","Samuel de Champlain","D10","ON.D10","11-10-15","10",0,25,21,7,20,2.85714285714286,1.14285714285714,1.0690449676497
238,"P","Samuel de Champlain","D10","ON.D10","11-10-15","",2,1,1,1,3,3,NA,NA
221,"P","Samuel de Champlain","D10","ON.D10","11-10-15","16",0,11,1,5,2,0.4,0.8,0.894427190999916
166,"P","Samuel de Champlain","D10","ON.D10","11-10-15","41",0,5,4,5,2,0.4,0.8,0.894427190999916
227,"P","Samuel de Champlain","D10","ON.D10","11-10-15","14",0,1,1,5,0,0,0,0
559,"P","Samuel de Champlain","D10","ON.D10","11-10-15","4",0,9,1,5,0,0,0,0
