"Envelope_ID","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","seed_counted_in_solo_fruit","Seed_var","Seed_stdev","Fertilized_not_viable"
496,5,43,8.6,43,4.3,2.07364413533277,"Y"
499,6,52,8.66666666666667,52,3.86666666666667,1.96638416050035,"Y"
500,5,224,44.8,92,256.333333333333,16.0104132780304,"N"
501,5,85,17,35,40.5,6.36396103067893,"Y"
502,6,57,9.5,0,NA,NA,"N"
503,5,30,6,30,17.6666666666667,4.20317340430616,"Y"
504,6,145,24.1666666666667,51,12.5,3.53553390593274,"N"
505,4,29,7.25,3,0.5,0.707106781186548,"N"
506,4,20,5,0,NA,NA,"Y"
508,5,88,17.6,0,NA,NA,"N"
509,4,21,5.25,21,6.91666666666667,2.62995563967658,"N"
511,5,177,35.4,16,NA,NA,"N"
512,5,24,4.8,2,NA,NA,"Y"
513,4,16,4,16,NA,NA,"N"
515,5,79,15.8,79,127.7,11.3004424692133,"N"
516,6,208,34.6666666666667,0,NA,NA,"N"
517,5,39,7.8,39,10.9166666666667,3.30403793359983,"N"
518,5,153,30.6,0,NA,NA,"Y"
519,5,122,24.4,14,NA,NA,"N"
521,4,132,33,0,NA,NA,"N"
522,5,7,1.4,0,NA,NA,"N"
523,3,33,11,0,NA,NA,"N"
524,5,152,30.4,80,176.333333333333,13.2790561913614,"N"
525,4,31,7.75,31,18.9166666666667,4.3493294502333,"N"
527,7,32,4.57142857142857,13,2.33333333333333,1.52752523165195,"Y"
528,2,19,9.5,19,24.5,4.94974746830583,"N"
529,5,35,7,35,9.5,3.08220700148449,"N"
531,5,32,6.4,32,9.3,3.04959013639538,"Y"
532,5,47,9.4,47,26.8,5.17687164221791,"N"
533,3,12,4,5,NA,NA,"Y"
534,6,86,14.3333333333333,86,0.666666666666667,0.816496580927726,"Y"
535,6,27,4.5,27,9.3,3.04959013639538,"Y"
536,4,42,10.5,0,NA,NA,"N"
537,5,36,7.2,36,7.2,2.68328157299975,"Y"
539,4,154,38.5,0,NA,NA,"N"
540,1,3,3,3,NA,NA,"N"
541,5,21,4.2,21,12.7,3.56370593624109,"N"
542,4,16,4,0,NA,NA,"Y"
544,5,4,0.8,4,0,0,"N"
545,4,152,38,152,70.6666666666667,8.40634680861233,"N"
546,4,11,2.75,11,NA,NA,"N"
547,5,152,30.4,152,100.3,10.0149887668434,"N"
548,7,62,8.85714285714286,2,NA,NA,"N"
549,5,30,6,0,NA,NA,"N"
550,6,115,19.1666666666667,0,NA,NA,"N"
551,3,71,23.6666666666667,0,NA,NA,"Y"
554,5,34,6.8,34,6.7,2.58843582110896,"N"
555,10,30,3,30,13.2,3.63318042491699,"N"
556,5,28,5.6,28,12.8,3.57770876399966,"N"
557,5,13,2.6,13,1.8,1.34164078649987,"N"
560,5,27,5.4,27,4.3,2.07364413533277,"N"
561,4,70,17.5,70,11,3.3166247903554,"Y"
562,5,59,11.8,0,NA,NA,"N"
563,2,3,1.5,3,0.5,0.707106781186548,"N"
564,2,29,14.5,29,60.5,7.77817459305202,"Y"
566,5,5,1,5,0.25,0.5,"N"
567,4,25,6.25,25,10.9166666666667,3.30403793359983,"Y"
568,5,65,13,0,NA,NA,"Y"
570,3,48,16,0,NA,NA,"N"
571,19,411,21.6315789473684,0,NA,NA,"Y"
572,5,159,31.8,159,212.25,14.5688022843335,"N"
573,4,32,8,32,22,4.69041575982343,"N"
574,5,100,20,39,60.5,7.77817459305202,"Y"
575,6,22,3.66666666666667,22,24.3,4.9295030175465,"N"
576,5,57,11.4,57,2.3,1.51657508881031,"N"
577,5,109,21.8,109,41.7,6.45755371638518,"Y"
578,5,78,15.6,78,83.8,9.15423399307665,"N"
580,14,7,0.5,7,0.333333333333333,0.577350269189626,"Y"
581,2,24,12,0,NA,NA,"N"
582,5,32,6.4,32,1.3,1.14017542509914,"Y"
583,12,83,6.91666666666667,17,1.33333333333333,1.15470053837925,"Y"
584,3,25,8.33333333333333,25,60.5,7.77817459305202,"N"
585,4,29,7.25,29,3.58333333333333,1.89296944860009,"N"
586,5,95,19,23,NA,NA,"N"
588,5,21,4.2,21,3.2,1.78885438199983,"N"
589,5,186,37.2,186,64.7,8.04363102087608,"N"
590,2,18,9,18,NA,NA,"N"
591,5,80,16,80,16.5,4.06201920231798,"Y"
592,5,34,6.8,34,39.2,6.26099033699941,"Y"
594,6,74,12.3333333333333,74,13.8666666666667,3.72379734500505,"Y"
