Page,Date,Person_ID,Envelope_ID,Viable_seeds(Y/N/Mix),Notes,
57,02-06-2016,Maggie,378,Y,,
57,02-06-2016,Maggie,745,Y,Seeds small but ok,
57,02-06-2016,Maggie,531,N,,
57,02-06-2016,Maggie,627,Y,Seeds small but ok,
57,02-06-2016,Maggie,184,Y,,
57,02-06-2016,Maggie,376,Y,,
58,02-06-2016,Maggie,492,N,,
58,02-06-2016,Maggie,705,Y,,
58,02-06-2016,Maggie,725,Y,,
58,02-06-2016,Maggie,660,Y,,
58,02-06-2016,Maggie,245,Y,"some good seeds, most aborted",
58,02-06-2016,Maggie,265,N,,
59,02-06-2016,Maggie,441,N,,
59,02-06-2016,Maggie,748,Y,many aborted and non-aborted seeds,
59,02-06-2016,Maggie,397,Y,,
59,02-06-2016,Maggie,381,N,,
59,02-06-2016,Maggie,701,,,
59,02-06-2016,Maggie,46,Y,many aborted and non-aborted seeds,
59,02-06-2016,Maggie,406,N,multiple fruit,
59,02-06-2016,Maggie,424,Y,,
60,02-06-2016,Maggie,564,Y,,
60,02-06-2016,Maggie,495,Y,,
60,02-06-2016,Maggie,732,Y,,
60,02-06-2016,Maggie,622,Y ,"some good seeds, most aborted",
60,02-06-2016,Maggie,262,Y,Seeds small but ok,
60,02-06-2016,Maggie,740,Y,,
60,02-06-2016,Maggie,281,Y,,
60,02-06-2016,Maggie,543,Y,"some good seeds, most aborted",
61,02-06-2016,Maggie,702,Y,"some good seeds, most aborted",
61,02-06-2016,Maggie,259,Y,Seeds small but ok,
61,02-06-2016,Maggie,637,Y,Seeds small but ok,
61,02-06-2016,Maggie,699,Y,,
61,02-06-2016,Maggie,25,N,many fruit,
61,02-06-2016,Maggie,284,Y,,
61,02-06-2016,Maggie,591,Y,,
62,02-06-2016,Maggie,337,Y,,
62,02-06-2016,Maggie,583,Y,,
62,02-06-2016,Maggie,320,Y,,
62,02-06-2016,Maggie,702,Y,"***tag says 703, but 703 is not a seed id, this appears in the correct order - perhaps excel file is wrong",
62,03-06-2016,Maggie,350,Y,,
62,02-06-2016,Maggie,654,Y,,
62,02-06-2016,Maggie,122,N,,
62,02-06-2016,Maggie,658,Y,,
63,03-06-2016,Maggie,473,Y,,
63,03-06-2016,Maggie,588,Y,,
63,03-06-2016,Maggie,653,Y,,
63,03-06-2016,Maggie,598,N,,
63,03-06-2016,Maggie,565,N,,
63,03-06-2016,Maggie,712,Y,,
63,03-06-2016,Maggie,86,Y,,
63,03-06-2016,Maggie,190,Y,,
63,03-06-2016,Maggie,694,Y,,
