Page,Photo_num,Date,Person_ID,Photo,Envelope_ID,Fruit_ID,Seed_number,Fertilized_not_viable,NonViable_seeds,Notes,Notes2,Notes3
14,,03-02-2016,Rebecca,Y,69,6,0,Y,Y,LATE ABORTED,,updated oct 2017
14,,03-02-2016,Rebecca,Y,275,1-5,105,N,Y ,,,updated oct 2017
14,,03-02-2016,Rebecca,N,348,1,0,N,N,,,
14,,03-02-2016,Rebecca,Y,348,2-6,101,N,Y,,,updated oct 2017
14,,03-02-2016,Rebecca,N,12,1,6,N,Y,6 SEEDS,,
14,,03-02-2016,Rebecca,N,12,2,2,N,Y,2 SEEDS,,
14,,03-02-2016,Rebecca,N,12,3,0,N,Y,0 SEEDS,,
14,,03-02-2016,Rebecca,N,12,4,8,N,Y,8 SEEDS,,
14,,03-02-2016,Rebecca,N,12,5,8,N,Y,8 SEEDS,,
14,,03-02-2016,Rebecca,N,12,6,5,N,Y,5 SEEDS,,
14,,03-02-2016,Rebecca,N,371,1,0,N,Y,,,
14,,03-02-2016,Rebecca,N,371,2,2,N,Y,2 SEEDS,,
14,,03-02-2016,Rebecca,N,365,1,0,N,Y ,,,
14,,03-02-2016,Rebecca,N,365,2,0,N,Y ,,,
14,,03-02-2016,Rebecca,N,365,3,0,N,N,,,
14,,03-02-2016,Rebecca,N,365,4,0,N,N,,,
14,,03-02-2016,Rebecca,N,365,5,0,N,Y,,,
14,,03-02-2016,Rebecca,N,365,6,0,N,Y,,,
14,,03-02-2016,Weihang,Y,250,1-5,54,N,Y,,,updated oct 2017
15,,09-02-2016,Rebecca,N,641,1,0,N,Y,NO SEEDS,,
15,,09-02-2016,Rebecca,N,641,2,0,N,Y,NO SEEDS,,
15,,09-02-2016,Rebecca,Y,551,1-3,71,Y,Y,LARGE ABORTED SEEDS,,updated oct 2017
15,,09-02-2016,Rebecca,Y,620,1-4,110,N,Y ,,,checked oct 2017
15,,09-02-2016,Rebecca,N,78,1,5,N,Y,5 LG SEEDS,,
15,,09-02-2016,Rebecca,N,78,2,1,N,Y,1 LG SEED,,
15,,09-02-2016,Rebecca,Y,3,1-5,42,N,Y,,,updated oct 2017
15,,09-02-2016,Rebecca,N,106,1-2,11,N,Y,11 SEEDS,,
15,,09-02-2016,Rebecca,N,106,3,3,N,Y,3 SEEDS,,
15,,09-02-2016,Rebecca,N,106,4,6,N,Y,6 SEEDS,,
15,,09-02-2016,Rebecca,N,106,5,6,N,Y,6 SEEDS,,
15,,09-02-2016,Rebecca,Y,572,1,0,Y,Late aborted,,,updated oct 2017
15,,09-02-2016,Rebecca,Y,572,2,48,N,Y,,,updated oct 2017
15,,09-02-2016,Rebecca,Y,572,3,21,N,Y,,,updated oct 2017
15,,09-02-2016,Rebecca,Y,572,4,36,N,Y,,,updated oct 2017
15,,09-02-2016,Rebecca,Y,572,5,54,N,Y,,,updated oct 2017
16,,10-02-2016,Rebecca,N,721,1,13,N,Y,13 SEEDS,,
